"логин";"Договор";"Номер договора";"Текущий статус";"Текущий статус1";"Тарифный план";"Тип договора";"Подключение id"
"15SAR01952";"1039466";"131700016";"Приостановлен системой";" 2";"Ф/Л Саранск  'ТТК-Мечтай ФА2015', 30Мб, 400 руб.";"ФЛ";"2505682"
"15SAR01956";"1039490";"131700106";"Активен";" 0";"Ф/Л Саранск 'Качай+ТВ_ФА2015', 60Мб, 101 канал, 750(500/250)";"ФЛ";"2505710"
"15SAR01958";"1039491";"131700107";"Приостановлен системой";" 2";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2505707"
"15SAR01959";"1039492";"131700108";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай_ФА2015' 60Мб, 500 руб. ";"ФЛ";"2505705"
"15SAR01961";"1039493";"131700110";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2505703"
"15SAR01963";"1039512";"131700298";"Приостановлен системой";" 2";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2505795"
"15SAR01966";"1039514";"131700302";"Приостановлен системой";" 2";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2505791"
"ttk131015842";"1039515";"131015842";"Активен";" 0";"Ф/Л Саранск 'ТТК-Летай', 100Мб, 700 руб.";"ФЛ";"2505768"
"15SAR01967";"1039516";"131700304";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2505771"
"15SAR01968";"1039517";"131700306";"Приостановлен системой";" 2";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2505793"
"15SAR01969";"1039518";"131700308";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2505797"
"15SAR01970";"1039520";"131700310";"Активен";" 0";"Ф/Л Саранск 'ТТК-Летай', 100Мб, 700 руб.";"ФЛ";"2505799"
"15SAR01971";"1039523";"131700313";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2505801"
"15SAR01972";"1039532";"131700342";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай_ФА2015' 60Мб, 500 руб. ";"ФЛ";"2505803"
"15SAR01973";"1039533";"131700343";"Приостановлен системой";" 2";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2505805"
"15SAR01974";"1039535";"131700345";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2505807"
